GameName,TotalUSDPrize,TotalTournaments,TotalPlayers,GameId
Mobile Legends: Bang Bang,8653650.83,89,1345,531
Trackmania (2020),356552.09,436,539,655
Age of Empires II,2901018.45,1408,1822,179
Apex Legends,16531885.35,686,2073,566
Chess.com,3998064.33,379,831,547
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,52335550.06,554,3519,504
Diabotical,262254.97,376,390,393
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,62875855.49,229,3364,554
Age of Empires IV,814457.48,240,402,746
Lichess,1287327.78,163,342,650
Granblue Fantasy: Versus,176825.88,82,105,732
Age of Mythology,115875.82,190,180,178
Rocket League,26864810.87,2784,3300,409
StarCraft II,38415457.54,6736,2169,151
Tekken 7,2398235.35,383,580,406
StarCraft: Remastered,1832959.79,238,269,762
Rezzil Player,51250.00,10,15,763
Age of Empires,442956.66,216,396,510
Dead by Daylight Mobile,10000.00,1,0,825
Counter-Strike: Global Offensive,145408812.21,6517,15462,245
Arena of Valor,70372427.25,144,1736,529
Dota 2,310896032.15,1730,4539,231
Artifact Classic,119584.34,172,276,552
League of Legends,98625835.84,2765,8686,164
League of Legends: Wild Rift,7863906.47,92,1310,734
VALORANT,15503735.71,870,4549,646
Rainbow Six Siege,32499402.67,530,2794,439
Overwatch 2,5516513.00,26,478,792
